States,Account_Length,Area-Code,Phone,International Plan,Vmail Plan,Vmail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge ,International Mins,International Calls,International Charge,Cutserv Calls,Churn_Flag
IN,168.00,415.00, 407-5054,0.00,0.00,0.00,161.00,110.00,27.00,185.00,120.00,16.00,120.00,104.00,5.00,9.00,4.00,2.00,1.00,1.00
HI,47.00,510.00, 376-9305,1.00,0.00,0.00,135.00,108.00,23.00,176.00,111.00,15.00,145.00,96.00,7.00,11.00,1.00,3.00,1.00,1.00
MT,100.00,415.00, 385-7148,0.00,0.00,0.00,97.00,86.00,16.00,210.00,133.00,18.00,146.00,106.00,7.00,13.00,3.00,3.00,1.00,1.00
WA,45.00,510.00, 399-3083,0.00,0.00,0.00,79.00,106.00,13.00,187.00,110.00,16.00,184.00,111.00,8.00,7.00,5.00,2.00,1.00,1.00
MO,179.00,510.00, 355-2464,0.00,0.00,0.00,287.00,123.00,49.00,288.00,114.00,24.00,266.00,112.00,12.00,11.00,4.00,3.00,0.00,1.00
VA,108.00,408.00, 335-1697,0.00,0.00,0.00,199.00,99.00,34.00,268.00,60.00,23.00,355.00,75.00,16.00,9.00,3.00,3.00,0.00,1.00
RI,121.00,408.00, 329-7347,0.00,0.00,0.00,170.00,108.00,29.00,351.00,68.00,30.00,297.00,87.00,13.00,11.00,3.00,3.00,0.00,1.00
MT,117.00,415.00, 365-8756,0.00,0.00,0.00,233.00,71.00,40.00,296.00,76.00,25.00,277.00,103.00,12.00,10.00,1.00,3.00,0.00,1.00
OK,82.00,510.00, 393-4823,0.00,0.00,0.00,330.00,73.00,56.00,208.00,120.00,18.00,267.00,102.00,12.00,11.00,6.00,3.00,0.00,1.00
TX,70.00,415.00, 341-8719,0.00,0.00,0.00,233.00,95.00,40.00,303.00,111.00,26.00,256.00,104.00,12.00,13.00,7.00,3.00,0.00,1.00
MD,147.00,408.00, 376-4292,0.00,0.00,0.00,274.00,92.00,47.00,232.00,82.00,20.00,284.00,83.00,13.00,6.00,1.00,2.00,0.00,1.00
ME,56.00,408.00, 385-5688,0.00,0.00,0.00,222.00,112.00,38.00,278.00,122.00,24.00,288.00,85.00,13.00,7.00,5.00,2.00,0.00,1.00
HI,105.00,415.00, 401-7359,0.00,0.00,0.00,281.00,124.00,48.00,302.00,96.00,26.00,203.00,109.00,9.00,9.00,3.00,2.00,0.00,1.00
SC,116.00,408.00, 373-6922,0.00,0.00,0.00,288.00,120.00,49.00,256.00,90.00,22.00,233.00,99.00,11.00,13.00,4.00,4.00,0.00,1.00
VT,100.00,510.00, 367-3275,0.00,0.00,0.00,254.00,97.00,43.00,262.00,88.00,22.00,256.00,82.00,12.00,14.00,6.00,4.00,0.00,1.00
WY,134.00,510.00, 366-1084,0.00,0.00,0.00,296.00,93.00,50.00,226.00,117.00,19.00,247.00,98.00,11.00,12.00,10.00,3.00,0.00,1.00
AR,154.00,408.00, 383-2893,0.00,0.00,0.00,284.00,115.00,48.00,181.00,103.00,15.00,306.00,60.00,14.00,9.00,5.00,2.00,0.00,1.00
GA,109.00,510.00, 328-9315,0.00,1.00,35.00,231.00,116.00,39.00,266.00,130.00,23.00,270.00,69.00,12.00,11.00,6.00,3.00,5.00,0.00
MI,88.00,415.00, 407-8795,0.00,1.00,14.00,299.00,92.00,51.00,207.00,86.00,18.00,258.00,65.00,12.00,12.00,4.00,3.00,5.00,0.00
WA,93.00,415.00, 329-4592,0.00,0.00,0.00,214.00,112.00,36.00,262.00,97.00,22.00,281.00,112.00,13.00,15.00,3.00,4.00,0.00,1.00
OK,94.00,415.00, 371-8929,0.00,0.00,0.00,255.00,96.00,43.00,277.00,67.00,24.00,227.00,74.00,10.00,11.00,2.00,3.00,0.00,1.00
AR,99.00,510.00, 387-2604,1.00,0.00,0.00,242.00,102.00,41.00,351.00,102.00,30.00,163.00,93.00,7.00,11.00,3.00,3.00,0.00,1.00
KS,110.00,415.00, 383-1657,1.00,0.00,0.00,293.00,79.00,50.00,189.00,90.00,16.00,267.00,91.00,12.00,15.00,4.00,4.00,0.00,1.00
DC,82.00,415.00, 374-5353,0.00,0.00,0.00,300.00,109.00,51.00,181.00,100.00,15.00,270.00,73.00,12.00,12.00,4.00,3.00,0.00,1.00
ID,107.00,415.00, 399-6945,0.00,0.00,0.00,261.00,81.00,44.00,246.00,116.00,21.00,243.00,117.00,11.00,13.00,9.00,3.00,0.00,1.00
WA,55.00,408.00, 357-6039,0.00,0.00,0.00,286.00,124.00,49.00,231.00,106.00,20.00,231.00,140.00,10.00,15.00,7.00,4.00,0.00,1.00
OR,81.00,415.00, 406-4100,0.00,0.00,0.00,325.00,48.00,55.00,236.00,82.00,20.00,188.00,78.00,8.00,13.00,5.00,4.00,0.00,1.00
MO,103.00,415.00, 405-6350,0.00,1.00,34.00,241.00,92.00,41.00,204.00,99.00,17.00,297.00,82.00,13.00,13.00,9.00,3.00,5.00,0.00
NE,76.00,415.00, 334-6519,0.00,0.00,0.00,273.00,97.00,46.00,236.00,95.00,20.00,236.00,105.00,11.00,8.00,2.00,2.00,0.00,1.00
GA,76.00,415.00, 372-6497,0.00,0.00,0.00,300.00,125.00,51.00,227.00,92.00,19.00,211.00,134.00,9.00,14.00,4.00,4.00,0.00,1.00
DE,97.00,510.00, 354-7397,0.00,0.00,0.00,225.00,90.00,38.00,280.00,127.00,24.00,234.00,103.00,11.00,9.00,4.00,2.00,0.00,1.00
CT,77.00,415.00, 335-6508,0.00,0.00,0.00,245.00,87.00,42.00,254.00,83.00,22.00,239.00,91.00,11.00,8.00,4.00,2.00,0.00,1.00
MA,17.00,415.00, 376-4705,1.00,0.00,0.00,163.00,118.00,28.00,230.00,91.00,20.00,333.00,94.00,15.00,14.00,3.00,4.00,0.00,1.00
KS,158.00,415.00, 347-1864,1.00,0.00,0.00,200.00,98.00,34.00,205.00,106.00,17.00,324.00,96.00,15.00,9.00,2.00,2.00,0.00,1.00
TX,75.00,415.00, 417-4456,0.00,0.00,0.00,305.00,106.00,52.00,188.00,115.00,16.00,235.00,116.00,11.00,9.00,5.00,2.00,0.00,1.00
UT,71.00,415.00, 367-3220,0.00,0.00,0.00,279.00,110.00,47.00,190.00,67.00,16.00,255.00,84.00,11.00,12.00,7.00,3.00,0.00,1.00
CA,111.00,408.00, 329-9067,0.00,0.00,0.00,250.00,109.00,42.00,242.00,106.00,21.00,232.00,78.00,10.00,12.00,4.00,3.00,0.00,1.00
OH,83.00,415.00, 370-9116,0.00,0.00,0.00,337.00,120.00,57.00,227.00,116.00,19.00,154.00,114.00,7.00,16.00,7.00,4.00,0.00,1.00
CT,119.00,408.00, 344-5181,0.00,0.00,0.00,294.00,100.00,50.00,233.00,53.00,20.00,195.00,64.00,9.00,9.00,1.00,2.00,0.00,1.00
TX,98.00,415.00, 406-2242,0.00,0.00,0.00,217.00,121.00,37.00,303.00,73.00,26.00,197.00,71.00,9.00,12.00,2.00,3.00,0.00,1.00
CT,152.00,408.00, 354-7077,0.00,1.00,20.00,239.00,105.00,41.00,209.00,111.00,18.00,268.00,130.00,12.00,13.00,3.00,4.00,5.00,0.00
DE,129.00,510.00, 332-6181,0.00,0.00,0.00,334.00,118.00,57.00,192.00,104.00,16.00,191.00,83.00,9.00,10.00,6.00,3.00,0.00,1.00
WV,63.00,510.00, 328-9797,0.00,0.00,0.00,262.00,69.00,45.00,245.00,135.00,21.00,202.00,94.00,9.00,15.00,4.00,4.00,0.00,1.00
ND,71.00,510.00, 373-8483,0.00,0.00,0.00,238.00,82.00,40.00,279.00,94.00,24.00,193.00,134.00,9.00,12.00,10.00,3.00,0.00,1.00
SD,104.00,510.00, 420-9838,0.00,0.00,0.00,234.00,128.00,40.00,293.00,92.00,25.00,184.00,79.00,8.00,10.00,6.00,3.00,0.00,1.00
NJ,127.00,510.00, 405-3309,0.00,0.00,0.00,245.00,91.00,42.00,217.00,92.00,18.00,243.00,128.00,11.00,14.00,6.00,4.00,0.00,1.00
WA,97.00,408.00, 373-8908,0.00,0.00,0.00,276.00,82.00,47.00,201.00,106.00,17.00,231.00,73.00,10.00,9.00,4.00,2.00,0.00,1.00
ME,80.00,408.00, 333-7631,0.00,0.00,0.00,322.00,113.00,55.00,222.00,95.00,19.00,163.00,123.00,7.00,7.00,8.00,2.00,0.00,1.00
TX,104.00,415.00, 371-8624,0.00,0.00,0.00,304.00,141.00,52.00,264.00,127.00,22.00,138.00,104.00,6.00,7.00,4.00,2.00,0.00,1.00
MS,13.00,415.00, 413-7468,0.00,0.00,0.00,303.00,133.00,52.00,171.00,86.00,14.00,228.00,80.00,10.00,12.00,3.00,3.00,0.00,1.00
MN,125.00,415.00, 343-2689,0.00,0.00,0.00,241.00,82.00,41.00,269.00,85.00,23.00,187.00,74.00,8.00,10.00,3.00,3.00,0.00,1.00
NV,95.00,415.00, 377-4669,0.00,1.00,35.00,238.00,86.00,41.00,258.00,132.00,22.00,195.00,72.00,9.00,13.00,4.00,4.00,5.00,0.00
MS,65.00,415.00, 383-9306,1.00,0.00,0.00,278.00,123.00,47.00,156.00,112.00,13.00,257.00,71.00,12.00,9.00,10.00,2.00,0.00,1.00
MT,127.00,408.00, 342-6864,0.00,0.00,0.00,271.00,110.00,46.00,214.00,80.00,18.00,202.00,102.00,9.00,13.00,4.00,4.00,0.00,1.00
CO,141.00,408.00, 407-1461,0.00,0.00,0.00,264.00,90.00,45.00,216.00,101.00,18.00,209.00,72.00,9.00,10.00,3.00,3.00,0.00,1.00
OR,174.00,415.00, 420-4132,0.00,0.00,0.00,222.00,102.00,38.00,174.00,123.00,15.00,297.00,97.00,13.00,6.00,2.00,2.00,0.00,1.00
OR,53.00,408.00, 400-8375,0.00,0.00,0.00,261.00,119.00,44.00,251.00,105.00,21.00,176.00,112.00,8.00,10.00,2.00,3.00,0.00,1.00
KS,74.00,408.00, 398-5195,0.00,0.00,0.00,287.00,113.00,49.00,261.00,121.00,22.00,137.00,94.00,6.00,13.00,6.00,3.00,0.00,1.00
WA,60.00,415.00, 366-8939,1.00,0.00,0.00,206.00,97.00,35.00,277.00,117.00,24.00,202.00,139.00,9.00,11.00,2.00,3.00,0.00,1.00
AL,141.00,408.00, 391-6773,0.00,0.00,0.00,243.00,90.00,41.00,234.00,80.00,20.00,212.00,104.00,10.00,6.00,3.00,2.00,5.00,0.00
NY,163.00,408.00, 413-2241,0.00,0.00,0.00,248.00,77.00,42.00,270.00,108.00,23.00,167.00,82.00,8.00,10.00,7.00,3.00,0.00,1.00
FL,116.00,415.00, 394-6577,0.00,1.00,17.00,193.00,112.00,33.00,241.00,131.00,20.00,248.00,98.00,11.00,11.00,3.00,3.00,5.00,0.00
OH,133.00,408.00, 379-1720,1.00,0.00,0.00,255.00,103.00,43.00,252.00,80.00,21.00,178.00,103.00,8.00,8.00,3.00,2.00,0.00,1.00
MA,111.00,415.00, 387-7371,0.00,0.00,0.00,284.00,89.00,48.00,157.00,113.00,13.00,243.00,91.00,11.00,8.00,8.00,2.00,0.00,1.00
IL,137.00,408.00, 352-5787,1.00,0.00,0.00,237.00,103.00,40.00,177.00,84.00,15.00,263.00,81.00,12.00,14.00,4.00,4.00,0.00,1.00
OK,44.00,408.00, 358-7165,0.00,0.00,0.00,289.00,86.00,49.00,176.00,87.00,15.00,215.00,106.00,10.00,10.00,2.00,3.00,0.00,1.00
MT,137.00,408.00, 330-5824,1.00,0.00,0.00,258.00,112.00,44.00,247.00,117.00,21.00,173.00,100.00,8.00,11.00,3.00,3.00,0.00,1.00
NH,125.00,415.00, 357-1938,1.00,0.00,0.00,298.00,78.00,51.00,271.00,142.00,23.00,107.00,84.00,5.00,12.00,2.00,3.00,0.00,1.00
OK,96.00,415.00, 362-4596,0.00,0.00,0.00,260.00,115.00,44.00,146.00,46.00,12.00,270.00,87.00,12.00,12.00,4.00,3.00,5.00,0.00
CO,105.00,408.00, 334-8694,0.00,0.00,0.00,271.00,98.00,46.00,226.00,110.00,19.00,179.00,60.00,8.00,9.00,5.00,2.00,0.00,1.00
OH,100.00,510.00, 385-8997,0.00,0.00,0.00,278.00,76.00,47.00,177.00,74.00,15.00,220.00,126.00,10.00,8.00,4.00,2.00,0.00,1.00
TX,121.00,415.00, 408-9572,0.00,1.00,31.00,263.00,70.00,45.00,279.00,118.00,24.00,127.00,143.00,6.00,10.00,4.00,3.00,5.00,0.00
TN,89.00,415.00, 367-1324,0.00,0.00,0.00,208.00,112.00,35.00,190.00,116.00,16.00,264.00,101.00,12.00,17.00,1.00,5.00,0.00,1.00
CO,85.00,510.00, 394-6668,0.00,1.00,21.00,283.00,110.00,48.00,240.00,108.00,20.00,150.00,80.00,7.00,6.00,1.00,2.00,5.00,0.00
MS,78.00,510.00, 352-3832,1.00,0.00,0.00,199.00,93.00,34.00,211.00,86.00,18.00,252.00,99.00,11.00,14.00,12.00,4.00,0.00,1.00
WA,76.00,510.00, 345-6961,1.00,0.00,0.00,247.00,110.00,42.00,206.00,63.00,18.00,208.00,123.00,9.00,13.00,5.00,4.00,0.00,1.00
MD,80.00,510.00, 387-2084,1.00,0.00,0.00,275.00,89.00,47.00,187.00,66.00,16.00,201.00,87.00,9.00,9.00,2.00,3.00,0.00,1.00
MD,93.00,408.00, 360-3324,1.00,0.00,0.00,312.00,109.00,53.00,129.00,100.00,11.00,218.00,74.00,10.00,11.00,2.00,3.00,0.00,1.00
PA,122.00,415.00, 383-4061,1.00,0.00,0.00,231.00,132.00,39.00,243.00,99.00,21.00,182.00,57.00,8.00,11.00,2.00,3.00,0.00,1.00
MN,173.00,510.00, 372-7990,0.00,0.00,0.00,292.00,143.00,50.00,214.00,134.00,18.00,151.00,119.00,7.00,10.00,2.00,3.00,0.00,1.00
DE,97.00,415.00, 390-5267,0.00,1.00,32.00,183.00,94.00,31.00,269.00,120.00,23.00,204.00,38.00,9.00,7.00,4.00,2.00,5.00,0.00
WV,136.00,510.00, 402-8558,0.00,0.00,0.00,240.00,121.00,41.00,271.00,123.00,23.00,133.00,98.00,6.00,17.00,4.00,5.00,0.00,1.00
ME,62.00,415.00, 358-1346,1.00,1.00,32.00,218.00,93.00,37.00,237.00,132.00,20.00,192.00,137.00,9.00,13.00,3.00,4.00,0.00,1.00
MI,225.00,415.00, 371-2500,0.00,0.00,0.00,165.00,106.00,28.00,274.00,109.00,23.00,210.00,93.00,9.00,9.00,3.00,2.00,0.00,1.00
SD,52.00,510.00, 403-6187,1.00,0.00,0.00,251.00,118.00,43.00,197.00,80.00,17.00,192.00,53.00,9.00,11.00,2.00,3.00,0.00,1.00
CA,84.00,415.00, 417-1488,0.00,0.00,0.00,280.00,113.00,48.00,202.00,90.00,17.00,157.00,103.00,7.00,10.00,4.00,3.00,0.00,1.00
AZ,102.00,510.00, 375-8584,0.00,0.00,0.00,172.00,116.00,29.00,219.00,111.00,19.00,242.00,85.00,11.00,12.00,4.00,3.00,0.00,1.00
WY,97.00,510.00, 346-1629,1.00,0.00,0.00,237.00,107.00,40.00,158.00,105.00,13.00,241.00,120.00,11.00,7.00,2.00,2.00,0.00,1.00
WY,16.00,415.00, 400-3197,0.00,0.00,0.00,175.00,83.00,30.00,281.00,122.00,24.00,172.00,80.00,8.00,11.00,8.00,3.00,5.00,0.00
KY,76.00,510.00, 345-1157,0.00,0.00,0.00,294.00,94.00,50.00,170.00,62.00,14.00,160.00,103.00,7.00,14.00,9.00,4.00,0.00,1.00
NY,75.00,415.00, 374-8525,0.00,1.00,21.00,176.00,97.00,30.00,218.00,106.00,18.00,238.00,134.00,11.00,5.00,4.00,1.00,5.00,0.00
DE,67.00,415.00, 413-7743,1.00,1.00,35.00,181.00,59.00,31.00,216.00,116.00,18.00,216.00,106.00,10.00,17.00,4.00,5.00,0.00,1.00
VA,133.00,408.00, 385-1464,0.00,1.00,39.00,240.00,107.00,41.00,254.00,77.00,22.00,129.00,85.00,6.00,7.00,3.00,2.00,5.00,0.00
NJ,82.00,415.00, 351-8843,0.00,1.00,33.00,247.00,106.00,42.00,167.00,110.00,14.00,208.00,113.00,9.00,7.00,1.00,2.00,5.00,0.00
MD,98.00,415.00, 338-6283,0.00,0.00,0.00,207.00,92.00,35.00,176.00,152.00,15.00,233.00,115.00,10.00,12.00,5.00,3.00,5.00,0.00
KS,24.00,510.00, 369-5449,0.00,0.00,0.00,243.00,91.00,41.00,184.00,77.00,16.00,184.00,109.00,8.00,15.00,6.00,4.00,0.00,1.00
IN,104.00,408.00, 382-2026,0.00,0.00,0.00,280.00,127.00,48.00,179.00,79.00,15.00,151.00,77.00,7.00,15.00,6.00,4.00,5.00,0.00
DE,145.00,415.00, 412-3166,0.00,0.00,0.00,189.00,113.00,32.00,204.00,92.00,17.00,218.00,103.00,10.00,14.00,3.00,4.00,5.00,0.00
MN,138.00,415.00, 388-5850,0.00,0.00,0.00,194.00,83.00,33.00,190.00,97.00,16.00,232.00,102.00,10.00,9.00,3.00,2.00,5.00,0.00
MI,105.00,415.00, 376-5213,0.00,0.00,0.00,227.00,106.00,39.00,182.00,77.00,15.00,204.00,107.00,9.00,12.00,2.00,3.00,0.00,1.00
OK,159.00,510.00, 333-3460,0.00,0.00,0.00,199.00,107.00,34.00,196.00,91.00,17.00,213.00,120.00,10.00,17.00,7.00,4.00,5.00,0.00
OR,27.00,510.00, 355-2840,0.00,0.00,0.00,232.00,81.00,39.00,211.00,101.00,18.00,165.00,87.00,7.00,15.00,6.00,4.00,5.00,0.00
CT,125.00,415.00, 409-7523,1.00,0.00,0.00,187.00,118.00,32.00,161.00,111.00,14.00,264.00,112.00,12.00,10.00,2.00,3.00,0.00,1.00
CA,138.00,510.00, 388-6026,1.00,0.00,0.00,196.00,129.00,33.00,177.00,86.00,15.00,232.00,108.00,10.00,15.00,1.00,4.00,0.00,1.00
GA,128.00,408.00, 355-2634,1.00,1.00,18.00,222.00,89.00,38.00,161.00,109.00,14.00,219.00,102.00,10.00,14.00,2.00,4.00,0.00,1.00
DE,51.00,415.00, 420-6465,1.00,0.00,0.00,154.00,108.00,26.00,233.00,85.00,20.00,214.00,92.00,10.00,14.00,4.00,4.00,0.00,1.00
NJ,95.00,408.00, 348-8015,1.00,1.00,37.00,220.00,109.00,37.00,185.00,99.00,16.00,205.00,82.00,9.00,4.00,2.00,1.00,0.00,1.00
CO,120.00,510.00, 328-8147,0.00,1.00,27.00,154.00,84.00,26.00,194.00,73.00,16.00,257.00,94.00,12.00,10.00,7.00,3.00,5.00,0.00
CA,151.00,415.00, 357-1909,1.00,0.00,0.00,218.00,57.00,37.00,114.00,88.00,10.00,269.00,95.00,12.00,12.00,1.00,3.00,0.00,1.00
WI,16.00,510.00, 405-5305,0.00,0.00,0.00,230.00,78.00,39.00,206.00,108.00,17.00,166.00,91.00,7.00,11.00,2.00,3.00,0.00,1.00
ME,36.00,510.00, 363-1069,1.00,1.00,42.00,197.00,89.00,33.00,255.00,122.00,22.00,138.00,126.00,6.00,20.00,6.00,5.00,0.00,1.00
MO,162.00,415.00, 366-2505,1.00,0.00,0.00,148.00,126.00,25.00,284.00,84.00,24.00,170.00,87.00,8.00,8.00,7.00,2.00,0.00,1.00
AL,60.00,408.00, 411-7778,1.00,1.00,29.00,266.00,113.00,45.00,216.00,94.00,18.00,108.00,82.00,5.00,14.00,12.00,4.00,0.00,1.00
IA,130.00,510.00, 408-8910,0.00,0.00,0.00,139.00,72.00,24.00,246.00,112.00,21.00,207.00,121.00,9.00,11.00,9.00,3.00,5.00,0.00
VA,103.00,510.00, 393-4621,0.00,0.00,0.00,168.00,121.00,29.00,213.00,123.00,18.00,208.00,73.00,9.00,13.00,3.00,4.00,5.00,0.00
LA,155.00,415.00, 334-1275,0.00,0.00,0.00,203.00,100.00,35.00,191.00,104.00,16.00,196.00,119.00,9.00,9.00,4.00,2.00,0.00,1.00
VA,163.00,415.00, 378-8342,0.00,0.00,0.00,203.00,100.00,34.00,179.00,46.00,15.00,204.00,116.00,9.00,13.00,3.00,3.00,5.00,0.00
VT,107.00,510.00, 382-1399,0.00,0.00,0.00,190.00,76.00,32.00,156.00,65.00,13.00,244.00,91.00,11.00,8.00,3.00,2.00,5.00,0.00
OH,143.00,415.00, 337-7167,0.00,0.00,0.00,223.00,99.00,38.00,167.00,128.00,14.00,203.00,84.00,9.00,5.00,4.00,1.00,0.00,1.00
NC,58.00,510.00, 375-4107,0.00,0.00,0.00,112.00,95.00,19.00,210.00,108.00,18.00,261.00,78.00,12.00,14.00,1.00,4.00,0.00,1.00
OR,101.00,415.00, 341-4332,1.00,0.00,0.00,170.00,117.00,29.00,212.00,111.00,18.00,204.00,120.00,9.00,10.00,1.00,3.00,0.00,1.00
NJ,147.00,415.00, 379-7009,0.00,1.00,36.00,254.00,78.00,43.00,228.00,105.00,19.00,98.00,125.00,4.00,14.00,7.00,4.00,5.00,0.00
TX,37.00,510.00, 346-2020,1.00,0.00,0.00,173.00,119.00,29.00,183.00,86.00,16.00,226.00,100.00,10.00,10.00,1.00,3.00,0.00,1.00
TX,90.00,415.00, 355-9366,1.00,1.00,26.00,169.00,104.00,29.00,189.00,104.00,16.00,213.00,76.00,10.00,13.00,3.00,4.00,0.00,1.00
NC,101.00,415.00, 354-2985,0.00,0.00,0.00,233.00,114.00,40.00,186.00,123.00,16.00,153.00,122.00,7.00,12.00,6.00,3.00,5.00,0.00
SC,130.00,415.00, 396-4410,0.00,0.00,0.00,213.00,102.00,36.00,190.00,137.00,16.00,170.00,105.00,8.00,11.00,4.00,3.00,0.00,1.00
MI,102.00,408.00, 380-4524,0.00,0.00,0.00,167.00,80.00,28.00,223.00,94.00,19.00,180.00,103.00,8.00,12.00,3.00,3.00,5.00,0.00
OH,133.00,408.00, 380-4374,0.00,0.00,0.00,118.00,100.00,20.00,199.00,105.00,17.00,244.00,119.00,11.00,12.00,4.00,3.00,0.00,1.00
CT,87.00,415.00, 402-3908,0.00,0.00,0.00,240.00,83.00,41.00,134.00,106.00,11.00,189.00,84.00,9.00,9.00,2.00,3.00,0.00,1.00
KS,100.00,415.00, 329-2452,1.00,0.00,0.00,156.00,82.00,27.00,259.00,91.00,22.00,144.00,93.00,6.00,8.00,7.00,2.00,5.00,0.00
SC,121.00,415.00, 415-6347,0.00,0.00,0.00,145.00,126.00,25.00,201.00,82.00,17.00,209.00,81.00,9.00,13.00,9.00,4.00,0.00,1.00
WI,147.00,415.00, 405-5403,1.00,0.00,0.00,225.00,111.00,38.00,185.00,98.00,16.00,143.00,146.00,6.00,10.00,1.00,3.00,0.00,1.00
DE,121.00,408.00, 420-3857,0.00,0.00,0.00,216.00,74.00,37.00,193.00,98.00,16.00,144.00,103.00,6.00,10.00,4.00,3.00,5.00,0.00
NY,181.00,415.00, 421-8537,1.00,0.00,0.00,161.00,83.00,27.00,124.00,83.00,11.00,262.00,98.00,12.00,14.00,3.00,4.00,0.00,1.00
OH,4.00,415.00, 364-6617,1.00,0.00,0.00,170.00,96.00,29.00,132.00,94.00,11.00,245.00,86.00,11.00,14.00,4.00,4.00,0.00,1.00
FL,166.00,510.00, 367-1681,1.00,0.00,0.00,48.00,89.00,8.00,264.00,95.00,22.00,235.00,97.00,11.00,13.00,3.00,4.00,0.00,1.00
NV,77.00,415.00, 401-1252,0.00,0.00,0.00,239.00,114.00,41.00,150.00,115.00,13.00,161.00,81.00,7.00,10.00,2.00,3.00,5.00,0.00
WA,103.00,415.00, 354-6960,0.00,0.00,0.00,205.00,107.00,35.00,135.00,102.00,11.00,208.00,106.00,9.00,10.00,3.00,3.00,5.00,0.00
NC,77.00,408.00, 334-6129,1.00,1.00,44.00,103.00,117.00,18.00,236.00,86.00,20.00,204.00,101.00,9.00,12.00,2.00,3.00,0.00,1.00
MI,148.00,415.00, 385-1118,1.00,0.00,0.00,234.00,81.00,40.00,188.00,71.00,16.00,122.00,97.00,6.00,10.00,2.00,3.00,0.00,1.00
OK,154.00,415.00, 374-8329,1.00,0.00,0.00,146.00,69.00,25.00,208.00,141.00,18.00,181.00,106.00,8.00,14.00,10.00,4.00,0.00,1.00
DC,59.00,415.00, 406-8182,0.00,1.00,26.00,205.00,68.00,35.00,115.00,115.00,10.00,215.00,130.00,10.00,9.00,2.00,3.00,5.00,0.00
KY,131.00,415.00, 379-2244,0.00,0.00,0.00,210.00,97.00,36.00,177.00,96.00,15.00,130.00,136.00,6.00,13.00,1.00,4.00,0.00,1.00
MD,135.00,408.00, 383-6029,1.00,1.00,41.00,173.00,85.00,29.00,204.00,107.00,17.00,122.00,78.00,6.00,15.00,15.00,4.00,0.00,1.00
IL,89.00,415.00, 380-4080,1.00,1.00,19.00,113.00,114.00,19.00,262.00,132.00,22.00,124.00,116.00,6.00,11.00,2.00,3.00,0.00,1.00
CA,103.00,415.00, 402-6744,0.00,1.00,18.00,150.00,84.00,25.00,171.00,84.00,15.00,172.00,112.00,8.00,12.00,7.00,3.00,0.00,1.00
MA,119.00,408.00, 417-3999,1.00,1.00,16.00,147.00,103.00,25.00,160.00,96.00,14.00,184.00,120.00,8.00,8.00,2.00,2.00,0.00,1.00
MA,62.00,415.00, 386-2810,1.00,0.00,0.00,160.00,86.00,27.00,198.00,76.00,17.00,122.00,105.00,5.00,14.00,6.00,4.00,0.00,1.00
NJ,57.00,510.00, 330-2635,1.00,0.00,0.00,115.00,65.00,20.00,122.00,96.00,10.00,245.00,75.00,11.00,6.00,1.00,2.00,0.00,1.00
WY,159.00,415.00, 391-2159,0.00,0.00,0.00,167.00,68.00,28.00,144.00,74.00,12.00,140.00,111.00,6.00,10.00,3.00,3.00,0.00,1.00
IN,88.00,415.00, 329-8143,0.00,0.00,0.00,83.00,94.00,14.00,158.00,130.00,13.00,206.00,81.00,9.00,11.00,4.00,3.00,0.00,1.00
OK,105.00,510.00, 405-4109,1.00,1.00,28.00,156.00,89.00,27.00,107.00,114.00,9.00,168.00,95.00,8.00,15.00,3.00,4.00,0.00,1.00
WV,64.00,415.00, 381-8901,0.00,0.00,0.00,161.00,110.00,27.00,172.00,97.00,15.00,105.00,56.00,5.00,7.00,2.00,2.00,0.00,1.00
KS,47.00,510.00, 418-5300,1.00,0.00,0.00,48.00,120.00,8.00,179.00,123.00,15.00,153.00,96.00,7.00,13.00,7.00,4.00,0.00,1.00
RI,104.00,408.00, 382-3966,1.00,0.00,0.00,160.00,73.00,27.00,294.00,103.00,25.00,307.00,90.00,14.00,13.00,5.00,3.00,4.00,0.00
RI,111.00,415.00, 351-2535,0.00,0.00,0.00,229.00,107.00,39.00,214.00,99.00,18.00,290.00,95.00,13.00,10.00,6.00,3.00,4.00,0.00
SC,112.00,415.00, 408-5601,0.00,1.00,31.00,225.00,89.00,38.00,257.00,117.00,22.00,250.00,87.00,11.00,12.00,1.00,3.00,4.00,0.00
MO,98.00,415.00, 354-3237,0.00,0.00,0.00,221.00,80.00,38.00,214.00,104.00,18.00,292.00,89.00,13.00,12.00,3.00,3.00,4.00,0.00
WV,101.00,415.00, 367-9127,0.00,1.00,28.00,220.00,96.00,37.00,286.00,72.00,24.00,203.00,111.00,9.00,9.00,6.00,3.00,4.00,0.00
MD,86.00,408.00, 329-2789,0.00,0.00,0.00,226.00,88.00,38.00,223.00,107.00,19.00,256.00,92.00,12.00,13.00,3.00,4.00,4.00,0.00
VT,100.00,408.00, 340-9449,1.00,0.00,0.00,219.00,112.00,37.00,226.00,102.00,19.00,255.00,95.00,11.00,12.00,4.00,3.00,4.00,0.00
NJ,126.00,415.00, 373-7804,0.00,0.00,0.00,262.00,83.00,44.00,193.00,133.00,16.00,247.00,50.00,11.00,7.00,3.00,2.00,4.00,0.00
WY,69.00,415.00, 342-6200,0.00,0.00,0.00,212.00,94.00,36.00,236.00,124.00,20.00,253.00,90.00,11.00,7.00,2.00,2.00,4.00,0.00
